isbn,title,author,price,stock,category,description
9786908403303,"Soluta ab rerum quod.","Tiffany Bernhard",325.48,634,History,"Ut consequatur qui quibusdam qui enim aut. Modi asperiores est reiciendis vitae. Enim dolores reiciendis magni ratione at."
9795829759109,"Ex quae sunt officiis.","Jordan Feeney",310.81,868,Health,"Delectus nemo laborum reprehenderit. Laborum quo recusandae et temporibus soluta."
9790634678997,"Eum iure quo.","Savanna Osinski",285.31,833,Self-Help,"Placeat nobis sit perspiciatis nihil illo non. Dolor nam tempore unde enim optio. Eum voluptatem cumque a."
9780986763229,"Provident officia aut.","Orion Brown",440.84,424,Business,"Laboriosam dignissimos quos numquam dolor quod incidunt. Est in distinctio facere id voluptates quam. Distinctio corrupti ipsam illum sed ea."
9793328674701,"Distinctio omnis quia.","Ila Robel",62.8,101,Fantasy,"Aut expedita sint dolor ipsa quis. Autem quo ea delectus harum sit."
9793207069710,"Cumque incidunt impedit.","Bailey Blanda IV",261.05,344,Cooking,"Minima eveniet laudantium assumenda autem deserunt. Magni quo exercitationem voluptas praesentium autem."
9787256040882,"Fuga possimus dolorum quis accusantium.","Connor Bode",356.96,617,Biography,"Libero similique qui atque sunt atque vero doloribus. Facere ut ut impedit id dolor unde maxime."
9795926781003,"Saepe eveniet recusandae.","Dr. Orville Luettgen",205.7,240,Cooking,"Laudantium nihil sunt nisi libero aut magni. Ut nam velit consequatur cupiditate dolore distinctio recusandae omnis. Dolores est temporibus et consequatur nemo atque molestiae."
9792048286539,"Exercitationem a temporibus sint et.","Keyshawn Rowe",446.37,499,Mystery,"Eos fugit et molestiae quia iusto consequatur. Qui vero dignissimos incidunt saepe quia. Voluptatibus sit odit sunt ipsum."
9780758532480,"Voluptatem quam aliquam ut.","Gladys Trantow",148.45,944,Technology,"Qui consequuntur aut et itaque nostrum vero numquam. Aut aliquid voluptatibus optio deleniti qui. Pariatur qui autem beatae non."
9799491145444,"Voluptatum et eum quos.","Trudie Jakubowski",486.47,769,"Children’s Literature","Laboriosam odit vitae minima voluptatem qui corporis. Delectus excepturi sit animi a. Blanditiis ducimus quidem iure error expedita molestiae."
9790216618878,"Nisi unde nobis.","Anna Pfannerstill DVM",41.16,644,Health,"Eos dolor omnis odio aut velit. Accusantium accusantium error optio et quis velit consequatur."
9786863540730,"Qui neque sequi consequatur.","Torrance Kulas",156.51,198,Self-Help,"Aut dignissimos temporibus ab incidunt eos. Temporibus quis expedita molestiae iste at dolor quia dolores."
9793070693289,"Qui eveniet voluptas neque.","Miss Alivia Willms I",405.08,242,History,"Eos quia velit vel quae et ex. Maiores iusto aliquid vel ipsum quos itaque alias. Nobis sit quidem blanditiis."
9790250143428,"Et ratione.","Laila Moore II",288,532,Fiction,"Dolores labore minus pariatur perspiciatis ut quaerat occaecati. Architecto reiciendis fugiat qui aut nam."
9783203035840,"Cupiditate accusamus.","Prof. Emery Johnston",129.23,980,Biography,"Ut porro quod voluptatum repellat. Quia ut non exercitationem distinctio ratione qui est."
9780880334501,"Sed ut dicta quia.","Ms. Burnice Zulauf",228.69,179,Science,"Aut deleniti rerum placeat ex. Excepturi recusandae ipsum sed odio aut. Sunt odio aut libero odit non et labore."
9783834000224,"Sint sit omnis ut.","Prof. Hoyt Dicki",314.01,260,"Children’s Literature","Impedit sequi soluta magnam consectetur quaerat. Numquam illum dolores sit qui deserunt."
9789094136154,"Vitae hic soluta.","Muriel Reichel",126.91,452,Travel,"Cumque eius sed soluta placeat amet atque. Est et cupiditate sit molestiae."
9784714252078,"Deserunt quidem magni consequatur incidunt.","Dr. Larry Cummings",489.94,475,Fiction,"Velit qui laudantium dolores reiciendis earum. Veritatis qui dolorem beatae odit veniam libero odit. Repellat illo quos aut ipsa ipsum autem enim."
9785175894609,"Non nobis praesentium.","Prof. Elna Kassulke",378.58,848,Romance,"Rem dolorem eos laboriosam enim. Non dolores adipisci illum dolore non qui. Pariatur expedita odit vel quia."
9793710814326,"Excepturi commodi quo maiores.","Gail Mayer",268.19,779,Business,"Dolorem in quo quasi eum. Aut aspernatur fugit quo autem. Necessitatibus quod nihil minima repudiandae tenetur dignissimos consequatur nemo."
9781871184136,"Quaerat hic ut inventore.","Mr. Efren Johns III",43.51,703,Fantasy,"Reprehenderit velit beatae officia perferendis. Magni cumque libero deserunt magnam sint. Consequatur et delectus est accusamus officia."
9791005254956,"Rerum aut ea.","Prof. Jack Zemlak DVM",207.29,449,Cooking,"Ea ut eos minima et voluptatem suscipit. Sunt consequuntur quos inventore voluptatibus adipisci id dolor velit."
9787221152374,"Ea possimus unde doloribus.","Hilario Walter",299.44,539,Business,"A facilis voluptas facere ad sunt distinctio. Exercitationem quo inventore quis corrupti."
9783852756219,"At suscipit sapiente aut.","Lionel Cole",219.81,635,Travel,"Qui error vero dolore quis sed quaerat error. Nemo inventore ullam quos totam beatae illum unde. Enim et reprehenderit quam magni."
9799815498133,"Occaecati quis maiores.","Miss Jody Glover DVM",426.34,405,"Children’s Literature","Veritatis assumenda quis exercitationem. Ex voluptatum consequatur velit quis accusantium recusandae. Recusandae modi qui natus."
9797035877554,"Aut laudantium veniam.","Luigi Dach",48.85,995,Fantasy,"Veniam amet quo nobis maiores. Vel quos amet quia cum corrupti soluta."
9791834826898,"Rerum dolor debitis autem.","Gaylord Parker",14.92,182,Biography,"Quod earum dolor enim dolorum. Optio fugiat quia sed architecto porro earum. Tempora in omnis et aut ad voluptas."
9787887235855,"Unde placeat eos beatae.","Mrs. Abbie Reynolds",150.91,633,Non-Fiction,"Quas quas quidem in reprehenderit. Nihil corrupti omnis voluptatem et sapiente tempora. In fugit quis ab nesciunt et vitae alias quidem."
9797235276690,"Molestias possimus mollitia minus est.","Prof. Rahul Okuneva IV",38.59,602,Health,"Laboriosam quo sint repellat quo nemo. Ipsa maiores iure numquam nihil. Sint sint amet corporis asperiores quia quidem."
9784087916966,"Qui quas earum voluptatem.","Tianna Simonis",162.42,279,Technology,"Quasi necessitatibus debitis et. Qui et quae aut ullam deleniti ipsam. Quaerat suscipit nisi temporibus nobis."
9782244069739,"Aut ipsam ea quia numquam.","Clemmie Kuphal MD",421.46,28,Health,"Magnam voluptates odio odio voluptates similique animi. Ipsum et aut asperiores ipsa. Voluptas ut quidem eos rem."
9785458613521,"Omnis est qui quidem.","Jarrod Pfannerstill",70.77,585,Fiction,"Est quis deleniti totam quas. Porro sint dolor eveniet voluptates."
9794726326124,"Qui pariatur non pariatur.","Tristian Ziemann Jr.",407.02,751,Health,"Necessitatibus quia pariatur est dolore minus non quos qui. Corporis earum ex reprehenderit accusamus rerum distinctio. Voluptas placeat earum aut."
9784226066545,"Sequi fugit quia iste.","Shanie Eichmann",308.07,51,Cooking,"Molestias sunt minus voluptates eligendi consequatur odio. Nesciunt voluptate iste similique asperiores ipsam magnam dignissimos qui."
9797187292281,"Officiis vel.","Kailee Hackett",459.29,374,Self-Help,"Autem error iure sint qui quod aut. Ut voluptates ea quis ipsa consequatur libero eum dolores."
9782798302351,"Et magnam quos.","Dr. Mose Will",79.94,885,Science,"Vel et unde dolore nisi. Et sit sunt quibusdam tenetur delectus nihil. Qui rem dolor ipsa consequuntur laborum."
9786532247236,"Esse reiciendis voluptates aliquam.","Opal Spinka",421.13,319,"Children’s Literature","Quo perspiciatis quaerat ut tempora. Tempora est numquam corrupti voluptas rerum expedita ad."
9794135880743,"Magni atque optio et.","Sandy Crooks",261.82,242,Self-Help,"Ullam consequuntur assumenda mollitia ipsa suscipit reprehenderit fuga. Cum quas quia nisi et maiores quo nam repellendus. Tempora dolor soluta et laborum dignissimos corporis ut."
9791089802159,"Repudiandae et qui autem.","Yazmin Zboncak",92.43,74,Science,"Voluptates voluptatibus est dolorum similique quaerat aut. Assumenda blanditiis quis quaerat provident. Culpa illo ducimus autem vel molestiae officia aut."
9786041834637,"Reiciendis esse nesciunt.","Cordia Aufderhar IV",123.97,537,Travel,"Nemo neque autem labore rerum ut corporis temporibus. Assumenda minus error perspiciatis fugiat. Eligendi aut quam dolore quia non sit."
9790502142353,"Odit et rem ipsam.","Mr. Caden Walter",117.88,360,Science,"Fuga qui occaecati ipsam. Aut vel eveniet voluptatem earum amet."
