isbn,title,author,price,stock,category,description,cover_image
9780451524935,1984,"George Orwell",24.22,181,Fiction,"A dystopian social science fiction novel and cautionary tale.",https://covers.openlibrary.org/b/isbn/9780451524935-L.jpg
9780061120084,"To Kill a Mockingbird","Harper Lee",42.88,127,Fiction,"A novel about the serious issues of rape and racial inequality.",https://covers.openlibrary.org/b/isbn/9780061120084-L.jpg
9780544003415,"The Lord of the Rings","J.R.R. Tolkien",44.25,70,Fantasy,"An epic high-fantasy novel written by English author J. R. R. Tolkien.",https://covers.openlibrary.org/b/isbn/9780544003415-L.jpg
9780141439518,"Pride and Prejudice","Jane Austen",14.58,177,Romance,"A romantic novel of manners written by Jane Austen.",https://covers.openlibrary.org/b/isbn/9780141439518-L.jpg
9780743273565,"The Great Gatsby","F. Scott Fitzgerald",40.44,199,Fiction,"A novel set in the Jazz Age on Long Island.",https://covers.openlibrary.org/b/isbn/9780743273565-L.jpg
9780451526342,"Animal Farm","George Orwell",41.66,45,Fiction,"An allegorical novella about the Russian Revolution.",https://covers.openlibrary.org/b/isbn/9780451526342-L.jpg
9780316769174,"The Catcher in the Rye","J.D. Salinger",31.47,59,Fiction,"A story about a teenager named Holden Caulfield.",https://covers.openlibrary.org/b/isbn/9780316769174-L.jpg
9780060850524,"Brave New World","Aldous Huxley",31.00,66,Fiction,"A dystopian novel set in a futuristic World State.",https://covers.openlibrary.org/b/isbn/9780060850524-L.jpg
9780142437230,"Don Quixote","Miguel de Cervantes",17.13,145,Fiction,"A Spanish novel about the adventures of a nobleman named Alonso Quixano.",https://covers.openlibrary.org/b/isbn/9780142437230-L.jpg
9780307474278,"The Da Vinci Code","Dan Brown",35.04,45,Mystery,"A mystery thriller novel about a conspiracy in the Catholic Church.",https://covers.openlibrary.org/b/isbn/9780307474278-L.jpg
9780143038412,"Eat Pray Love","Elizabeth Gilbert",13.20,174,Non-Fiction,"A memoir about the author's trip around the world.",https://covers.openlibrary.org/b/isbn/9780143038412-L.jpg
9780316015844,Twilight,"Stephenie Meyer",10.19,48,Fantasy,"A vampire-themed fantasy romance novel.",https://covers.openlibrary.org/b/isbn/9780316015844-L.jpg
9780547928227,"The Hobbit","J.R.R. Tolkien",16.49,156,Fantasy,"A children's fantasy novel about the adventures of Bilbo Baggins.",https://covers.openlibrary.org/b/isbn/9780547928227-L.jpg
9780062315007,"The Alchemist","Paulo Coelho",30.00,24,Fiction,"An allegorical novel about a young Andalusian shepherd.",https://covers.openlibrary.org/b/isbn/9780062315007-L.jpg
9780143127550,"The Martian","Andy Weir",35.90,50,Science,"A science fiction novel about an astronaut stranded on Mars.",https://covers.openlibrary.org/b/isbn/9780143127550-L.jpg
9780307347978,"The Girl with the Dragon Tattoo","Stieg Larsson",21.88,40,Mystery,"A psychological thriller novel by Swedish author Stieg Larsson.",https://covers.openlibrary.org/b/isbn/9780307347978-L.jpg
9780143124542,"The Fault in Our Stars","John Green",19.80,33,Fiction,"A novel about two teenagers who meet at a cancer support group.",https://covers.openlibrary.org/b/isbn/9780143124542-L.jpg
9780345803481,"Fifty Shades of Grey","E.L. James",40.07,80,Romance,"An erotic romance novel about a college graduate and a businessman.",https://covers.openlibrary.org/b/isbn/9780345803481-L.jpg
9780735219090,"Where the Crawdads Sing","Delia Owens",29.04,87,Mystery,"A coming-of-age story and murder mystery.",https://covers.openlibrary.org/b/isbn/9780735219090-L.jpg
9781501110368,"It Ends with Us","Colleen Hoover",25.12,74,Romance,"A novel about domestic violence and resilience.",https://covers.openlibrary.org/b/isbn/9781501110368-L.jpg
9780525559474,"The Midnight Library","Matt Haig",39.39,113,Fantasy,"A novel about a library that contains books of the lives the protagonist could have lived.",https://covers.openlibrary.org/b/isbn/9780525559474-L.jpg
9780525633723,"Atomic Habits","James Clear",36.11,88,Self-Help,"A guide to building good habits and breaking bad ones.",https://covers.openlibrary.org/b/isbn/9780525633723-L.jpg
9781501160837,Verity,"Colleen Hoover",19.17,186,Mystery,"A psychological thriller about a struggling writer.",https://covers.openlibrary.org/b/isbn/9781501160837-L.jpg
9780735222359,Becoming,"Michelle Obama",27.78,49,Biography,"The memoir of former First Lady Michelle Obama.",https://covers.openlibrary.org/b/isbn/9780735222359-L.jpg
9780812981605,"The Immortal Life of Henrietta Lacks","Rebecca Skloot",22.67,171,Science,"A non-fiction book about the woman whose cells were taken without her knowledge.",https://covers.openlibrary.org/b/isbn/9780812981605-L.jpg
9780385537858,"The Goldfinch","Donna Tartt",17.91,97,Fiction,"A novel about a boy who survives a terrorist attack.",https://covers.openlibrary.org/b/isbn/9780385537858-L.jpg
9781501161933,"The Seven Husbands of Evelyn Hugo","Taylor Jenkins Reid",25.18,119,Romance,"A novel about a legendary film actress and her life.",https://covers.openlibrary.org/b/isbn/9781501161933-L.jpg
9780525536291,"Normal People","Sally Rooney",34.93,64,Fiction,"A novel about the relationship between two teenagers.",https://covers.openlibrary.org/b/isbn/9780525536291-L.jpg
9780307744432,"Gone Girl","Gillian Flynn",41.01,25,Mystery,"A thriller about the disappearance of a woman on her wedding anniversary.",https://covers.openlibrary.org/b/isbn/9780307744432-L.jpg
9781250316776,"The Silent Patient","Alex Michaelides",37.79,180,Mystery,"A psychological thriller about a woman who shoots her husband and then stops speaking.",https://covers.openlibrary.org/b/isbn/9781250316776-L.jpg
9780385514231,"The Book Thief","Markus Zusak",35.50,123,Fiction,"A novel set in Nazi Germany, narrated by Death.",https://covers.openlibrary.org/b/isbn/9780385514231-L.jpg
9780544273443,"The Giver","Lois Lowry",39.30,107,Fiction,"A young adult dystopian novel.",https://covers.openlibrary.org/b/isbn/9780544273443-L.jpg
9780141439563,"Jane Eyre","Charlotte Brontë",11.71,102,Romance,"A novel about an orphan girl who becomes a governess.",https://covers.openlibrary.org/b/isbn/9780141439563-L.jpg
9780141439600,"Wuthering Heights","Emily Brontë",20.24,22,Romance,"A novel about the intense and destructive love between Heathcliff and Catherine.",https://covers.openlibrary.org/b/isbn/9780141439600-L.jpg
9780141439587,"Sense and Sensibility","Jane Austen",41.24,113,Romance,"A novel about the Dashwood sisters.",https://covers.openlibrary.org/b/isbn/9780141439587-L.jpg
9780141439617,"Great Expectations","Charles Dickens",13.18,94,Fiction,"A novel about the growth and development of an orphan named Pip.",https://covers.openlibrary.org/b/isbn/9780141439617-L.jpg
9780141439556,"Oliver Twist","Charles Dickens",38.56,50,Fiction,"A novel about an orphan who escapes from a workhouse.",https://covers.openlibrary.org/b/isbn/9780141439556-L.jpg
9780141439662,"A Tale of Two Cities","Charles Dickens",19.92,25,Fiction,"A novel set in London and Paris during the French Revolution.",https://covers.openlibrary.org/b/isbn/9780141439662-L.jpg
9780141439846,Moby-Dick,"Herman Melville",27.78,181,Fiction,"A novel about the voyage of the whaling ship Pequod.",https://covers.openlibrary.org/b/isbn/9780141439846-L.jpg
9780142437247,"The Scarlet Letter","Nathaniel Hawthorne",36.33,56,Fiction,"A novel set in 17th-century Puritan Massachusetts.",https://covers.openlibrary.org/b/isbn/9780142437247-L.jpg
9780141441269,Frankenstein,"Mary Shelley",44.94,90,Science,"A novel about a scientist who creates a grotesque creature.",https://covers.openlibrary.org/b/isbn/9780141441269-L.jpg
9780141439471,Dracula,"Bram Stoker",16.84,133,Fantasy,"An epistolary Gothic horror novel.",https://covers.openlibrary.org/b/isbn/9780141439471-L.jpg
9780141441146,"The Picture of Dorian Gray","Oscar Wilde",11.73,194,Fiction,"A philosophical novel about a man who remains young while his portrait ages.",https://covers.openlibrary.org/b/isbn/9780141441146-L.jpg
9780141439792,"Les Misérables","Victor Hugo",34.74,148,Fiction,"A novel about the struggle of Jean Valjean.",https://covers.openlibrary.org/b/isbn/9780141439792-L.jpg
9780140449136,"The Brothers Karamazov","Fyodor Dostoevsky",12.19,63,Fiction,"A philosophical novel set in 19th-century Russia.",https://covers.openlibrary.org/b/isbn/9780140449136-L.jpg
9780140449174,"Crime and Punishment","Fyodor Dostoevsky",11.77,106,Fiction,"A novel about the mental anguish of a former student.",https://covers.openlibrary.org/b/isbn/9780140449174-L.jpg
9780140447934,"War and Peace","Leo Tolstoy",37.33,26,Fiction,"A novel about the French invasion of Russia.",https://covers.openlibrary.org/b/isbn/9780140447934-L.jpg
9780140447910,"Anna Karenina","Leo Tolstoy",14.88,165,Romance,"A novel about the tragic love affair of Anna Karenina.",https://covers.openlibrary.org/b/isbn/9780140447910-L.jpg
9780140447897,"The Odyssey",Homer,16.41,65,Fantasy,"An ancient Greek epic poem.",https://covers.openlibrary.org/b/isbn/9780140447897-L.jpg
9780140449112,"The Iliad",Homer,42.46,75,History,"An ancient Greek epic poem about the Trojan War.",https://covers.openlibrary.org/b/isbn/9780140449112-L.jpg
9780060935467,"To Kill a Mockingbird","Harper Lee",34.76,29,Fiction,"Classic southern gothic novel.",https://covers.openlibrary.org/b/isbn/9780060935467-L.jpg
9780316033411,"The Catcher in the Rye","J.D. Salinger",40.92,33,Fiction,"Coming of age story.",https://covers.openlibrary.org/b/isbn/9780316033411-L.jpg
9780141439518,"Pride and Prejudice","Jane Austen",10.05,82,Romance,"Classic romance.",https://covers.openlibrary.org/b/isbn/9780141439518-L.jpg
9780743273565,"The Great Gatsby","F. Scott Fitzgerald",21.61,133,Fiction,"American dream story.",https://covers.openlibrary.org/b/isbn/9780743273565-L.jpg
9780451524935,1984,"George Orwell",38.55,174,Fiction,"Dystopian fiction.",https://covers.openlibrary.org/b/isbn/9780451524935-L.jpg
9780553213119,"Moby Dick","Herman Melville",39.55,173,Fiction,"Epic whale hunt.",https://covers.openlibrary.org/b/isbn/9780553213119-L.jpg
9780140449266,"The Count of Monte Cristo","Alexandre Dumas",40.09,13,Fiction,"Tale of revenge.",https://covers.openlibrary.org/b/isbn/9780140449266-L.jpg
9780140449303,"The Three Musketeers","Alexandre Dumas",44.30,79,Fiction,"Swashbuckling adventure.",https://covers.openlibrary.org/b/isbn/9780140449303-L.jpg
9780141439600,"Wuthering Heights","Emily Bronte",18.88,115,Romance,"Gothic romance.",https://covers.openlibrary.org/b/isbn/9780141439600-L.jpg
9780141439563,"Jane Eyre","Charlotte Bronte",22.91,168,Romance,"Classic story of an orphan.",https://covers.openlibrary.org/b/isbn/9780141439563-L.jpg
9780140449136,"The Brothers Karamazov","Fyodor Dostoevsky",20.89,112,Fiction,"Philosophical novel.",https://covers.openlibrary.org/b/isbn/9780140449136-L.jpg
9780140449174,"Crime and Punishment","Fyodor Dostoevsky",36.92,154,Fiction,"Psychological drama.",https://covers.openlibrary.org/b/isbn/9780140449174-L.jpg
9780140447934,"War and Peace","Leo Tolstoy",32.31,67,Fiction,"Historical saga.",https://covers.openlibrary.org/b/isbn/9780140447934-L.jpg
9780140447910,"Anna Karenina","Leo Tolstoy",21.89,198,Romance,"Tragic love story.",https://covers.openlibrary.org/b/isbn/9780140447910-L.jpg
9780140447897,"The Odyssey",Homer,38.90,43,Fantasy,"Epic journey.",https://covers.openlibrary.org/b/isbn/9780140447897-L.jpg
9780140449112,"The Iliad",Homer,40.20,124,History,"Trojan War story.",https://covers.openlibrary.org/b/isbn/9780140449112-L.jpg
9780141441269,Frankenstein,"Mary Shelley",26.46,157,Science,"Gothic horror.",https://covers.openlibrary.org/b/isbn/9780141441269-L.jpg
9780141439471,Dracula,"Bram Stoker",35.46,105,Fantasy,"Classic vampire novel.",https://covers.openlibrary.org/b/isbn/9780141439471-L.jpg
9780141441146,"The Picture of Dorian Gray","Oscar Wilde",40.15,39,Fiction,"Philosophical story.",https://covers.openlibrary.org/b/isbn/9780141441146-L.jpg
9780141439792,"Les Miserables","Victor Hugo",16.40,86,Fiction,"Story of redemption.",https://covers.openlibrary.org/b/isbn/9780141439792-L.jpg
9780547928227,"The Hobbit","J.R.R. Tolkien",11.91,194,Fantasy,"Bilbo's adventure.",https://covers.openlibrary.org/b/isbn/9780547928227-L.jpg
9780544003415,"The Lord of the Rings","J.R.R. Tolkien",27.41,85,Fantasy,"The One Ring saga.",https://covers.openlibrary.org/b/isbn/9780544003415-L.jpg
9780062315007,"The Alchemist","Paulo Coelho",19.52,128,Fiction,"Spiritual journey.",https://covers.openlibrary.org/b/isbn/9780062315007-L.jpg
9780143127550,"The Martian","Andy Weir",41.85,94,Science,"Mars survival.",https://covers.openlibrary.org/b/isbn/9780143127550-L.jpg
9780307347978,"The Girl with the Dragon Tattoo","Stieg Larsson",12.93,56,Mystery,"Crime thriller.",https://covers.openlibrary.org/b/isbn/9780307347978-L.jpg
9780143124542,"The Fault in Our Stars","John Green",30.04,194,Fiction,"Young adult romance.",https://covers.openlibrary.org/b/isbn/9780143124542-L.jpg
9780345803481,"Fifty Shades of Grey","E.L. James",21.52,200,Romance,"Erotic romance.",https://covers.openlibrary.org/b/isbn/9780345803481-L.jpg
9780735219090,"Where the Crawdads Sing","Delia Owens",22.16,118,Mystery,"Marsh murder mystery.",https://covers.openlibrary.org/b/isbn/9780735219090-L.jpg
9781501110368,"It Ends with Us","Colleen Hoover",31.67,95,Romance,"Emotional drama.",https://covers.openlibrary.org/b/isbn/9781501110368-L.jpg
9780525559474,"The Midnight Library","Matt Haig",19.26,32,Fantasy,"Lives unlived.",https://covers.openlibrary.org/b/isbn/9780525559474-L.jpg
9780525633723,"Atomic Habits","James Clear",12.25,190,Self-Help,"Habit building.",https://covers.openlibrary.org/b/isbn/9780525633723-L.jpg
9781501160837,Verity,"Colleen Hoover",30.69,67,Mystery,"Dark thriller.",https://covers.openlibrary.org/b/isbn/9781501160837-L.jpg
9780735222359,Becoming,"Michelle Obama",23.31,125,Biography,"Michelle Obama's story.",https://covers.openlibrary.org/b/isbn/9780735222359-L.jpg
9780812981605,"The Immortal Life of Henrietta Lacks","Rebecca Skloot",24.67,197,Science,"Medical ethics story.",https://covers.openlibrary.org/b/isbn/9780812981605-L.jpg
9780385537858,"The Goldfinch","Donna Tartt",19.07,166,Fiction,"Coming of age drama.",https://covers.openlibrary.org/b/isbn/9780385537858-L.jpg
9781501161933,"The Seven Husbands of Evelyn Hugo","Taylor Jenkins Reid",15.71,175,Romance,"Hollywood drama.",https://covers.openlibrary.org/b/isbn/9781501161933-L.jpg
9780525536291,"Normal People","Sally Rooney",35.43,49,Fiction,"Complicated love.",https://covers.openlibrary.org/b/isbn/9780525536291-L.jpg
9780307744432,"Gone Girl","Gillian Flynn",41.53,61,Mystery,"Gone Girl mystery.",https://covers.openlibrary.org/b/isbn/9780307744432-L.jpg
9781250316776,"The Silent Patient","Alex Michaelides",21.13,45,Mystery,"Silent killer.",https://covers.openlibrary.org/b/isbn/9781250316776-L.jpg
9780385514231,"The Book Thief","Markus Zusak",18.33,153,Fiction,"World War II story.",https://covers.openlibrary.org/b/isbn/9780385514231-L.jpg
9780544273443,"The Giver","Lois Lowry",31.91,10,Fiction,"Dystopian society.",https://covers.openlibrary.org/b/isbn/9780544273443-L.jpg
9780060850524,"Brave New World","Aldous Huxley",10.07,59,Fiction,"Futuristic dystopia.",https://covers.openlibrary.org/b/isbn/9780060850524-L.jpg
9780142437230,"Don Quixote","Miguel de Cervantes",40.93,25,Fiction,"Spanish classic.",https://covers.openlibrary.org/b/isbn/9780142437230-L.jpg
9780307474278,"The Da Vinci Code","Dan Brown",26.81,166,Mystery,"Conspiracy thriller.",https://covers.openlibrary.org/b/isbn/9780307474278-L.jpg
9780143038412,"Eat Pray Love","Elizabeth Gilbert",23.69,142,Non-Fiction,"Travel memoir.",https://covers.openlibrary.org/b/isbn/9780143038412-L.jpg
9780316015844,Twilight,"Stephenie Meyer",31.04,108,Fantasy,"Vampire saga.",https://covers.openlibrary.org/b/isbn/9780316015844-L.jpg
9780306815560,"The Great Depression","Robert S. McElvaine",23.06,62,History,"Historical overview.",https://covers.openlibrary.org/b/isbn/9780306815560-L.jpg
9780060930219,"A People's History of the United States","Howard Zinn",39.34,195,History,"US History.",https://covers.openlibrary.org/b/isbn/9780060930219-L.jpg
9780393324815,"Guns, Germs, and Steel","Jared Diamond",34.56,172,Science,"Global history.",https://covers.openlibrary.org/b/isbn/9780393324815-L.jpg
9780465026562,"The Big Short","Michael Lewis",27.96,72,Business,"Financial crisis story.",https://covers.openlibrary.org/b/isbn/9780465026562-L.jpg
